suite	count	threads	batch	mode	inproc_sleep_ms	recv_sleep_ms	recv_verify	n_total	n_ok	n_fail	wall_ms_q25	wall_ms_median	wall_ms_q75	throughput_tx_s_q25	throughput_tx_s_median	throughput_tx_s_q75	sum_build_ms_q25	sum_build_ms_median	sum_build_ms_q75	sum_pack_ms_q25	sum_pack_ms_median	sum_pack_ms_q75	sum_submit_ack_ms_q25	sum_submit_ack_ms_median	sum_submit_ack_ms_q75	sum_inproc_ms_q25	sum_inproc_ms_median	sum_inproc_ms_q75	bench_oneway_ms_q25	bench_oneway_ms_median	bench_oneway_ms_q75	submitted_q25	submitted_median	submitted_q75	batches_q25	batches_median	batches_q75	host	nproc
standard	1024	1	128	inproc	0	NA	NA	3	3	0	509.484985	541.838867	702.947388	1537.484617	1889.860735	2018.010693	509.423218	541.771729	702.880249	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.002075	0.002197	0.004150				1024.000000	1024.000000	1024.000000	8.000000	8.000000	8.000000	Ada	12
standard	1024	1	128	zmq	NA	0	0	3	3	0	501.454956	579.459961	770.671509	1415.870564	1767.162650	2092.697062	453.368164	490.043945	551.535400	0.189453	0.202881	0.237183	47.815064	89.104248	218.800293	0.000000	0.000000	0.000000				1024.000000	1024.000000	1024.000000	8.000000	8.000000	8.000000	Ada	12
standard	1024	1	128	zmq	NA	0	1	3	3	0	364.678589	382.874023	593.703003	1973.649309	2674.508944	2814.959791	357.890625	376.880127	512.215088	0.173217	0.179443	0.221801	6.553223	7.329590	81.977417	0.000000	0.000000	0.000000				1024.000000	1024.000000	1024.000000	8.000000	8.000000	8.000000	Ada	12
standard	1024	1	16	inproc	0	NA	NA	3	3	0	480.172974	551.334961	660.830444	1593.308787	1857.310116	2180.455174	480.037231	551.173096	660.658935	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.010498	0.011230	0.015991				1024.000000	1024.000000	1024.000000	64.000000	64.000000	64.000000	Ada	12
standard	1024	1	16	zmq	NA	0	0	3	3	0	479.236328	484.306885	560.552490	1861.203429	2114.361848	2136.972066	431.889649	440.493408	512.891113	0.581299	0.595703	0.655639	46.449707	49.891357	50.184082	0.000000	0.000000	0.000000	0.392153	0.439185	2.292428	1024.000000	1024.000000	1024.000000	64.000000	64.000000	64.000000	Ada	12
standard	1024	1	16	zmq	NA	0	1	3	3	0	342.976928	358.723877	401.371949	2580.382792	2854.563261	2991.930442	302.978882	319.456787	357.380982	0.487426	0.512207	0.515991	39.332275	40.039795	43.983887	0.000000	0.000000	0.000000	0.350036	0.358052	0.390188	1024.000000	1024.000000	1024.000000	64.000000	64.000000	64.000000	Ada	12
standard	1024	1	32	inproc	0	NA	NA	3	3	0	440.238037	444.927002	460.867553	2224.557816	2301.501135	2326.278270	440.149415	444.839600	460.767701	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.003907	0.004883	0.005371				1024.000000	1024.000000	1024.000000	32.000000	32.000000	32.000000	Ada	12
standard	1024	1	32	zmq	NA	0	0	3	3	0	695.607544	767.917969	803.452026	1276.998302	1333.475764	1488.175980	606.281373	733.648438	766.674072	0.544189	0.596924	0.643066	35.893555	38.368164	91.024414	0.000000	0.000000	0.000000				1024.000000	1024.000000	1024.000000	32.000000	32.000000	32.000000	Ada	12
standard	1024	1	32	zmq	NA	0	1	3	3	0	560.784912	619.869873	824.828980	1323.169482	1651.959620	1846.510106	513.503418	552.675293	572.823365	0.438599	0.447510	0.458496	26.501587	26.769287	251.613159	0.000000	0.000000	0.000000				1024.000000	1024.000000	1024.000000	32.000000	32.000000	32.000000	Ada	12
standard	1024	1	64	inproc	0	NA	NA	3	3	0	728.349488	786.812012	799.559571	1281.030696	1301.454458	1415.035282	728.252686	786.707520	799.452149	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.005860	0.006836	0.006958				1024.000000	1024.000000	1024.000000	16.000000	16.000000	16.000000	Ada	12
