suite	rep	count	threads	batch	mode	inproc_sleep_ms	recv_sleep_ms	recv_verify	exit_code	wall_ms	submitted	batches	sum_build_ms	sum_pack_ms	sum_submit_ack_ms	sum_inproc_ms	zmq	throughput_tx_s	bench_oneway_ms	host	nproc	unix_ts
standard	1	128	1	8	inproc	0	NA	NA	0	77.510986	128	16	77.449951	0.000000	0.000000	0.008057	0	1651.378805	NA	Ada	12	1774747538
standard	2	128	1	8	inproc	0	NA	NA	0	70.760010	128	16	70.701416	0.000000	0.000000	0.003906	0	1808.931350	NA	Ada	12	1774747538
standard	3	128	1	8	inproc	0	NA	NA	0	65.997070	128	16	65.958008	0.000000	0.000000	0.000977	0	1939.480031	NA	Ada	12	1774747538
standard	1	128	1	8	zmq	NA	0	0	0	44.737061	128	16	35.215088	0.085938	9.397949	0.000000	1	2861.162500	NA	Ada	12	1774747540
standard	2	128	1	8	zmq	NA	0	0	0	49.395020	128	16	37.973389	0.061035	11.323486	0.000000	1	2591.354376	NA	Ada	12	1774747541
standard	3	128	1	8	zmq	NA	0	0	0	50.601807	128	16	41.157227	0.057373	9.353516	0.000000	1	2529.553953	NA	Ada	12	1774747542
standard	1	128	1	8	zmq	NA	0	1	0	48.577881	128	16	42.156006	0.073730	6.280029	0.000000	1	2634.944088	NA	Ada	12	1774747544
standard	2	128	1	8	zmq	NA	0	1	0	71.560059	128	16	59.603271	0.099365	11.800293	0.000000	1	1788.707311	NA	Ada	12	1774747545
standard	3	128	1	8	zmq	NA	0	1	0	64.774170	128	16	55.083008	0.101807	9.544189	0.000000	1	1976.096338	NA	Ada	12	1774747546
standard	1	128	1	16	inproc	0	NA	NA	0	51.626953	128	8	51.599609	0.000000	0.000000	0.000977	0	2479.325086	NA	Ada	12	1774747547
standard	2	128	1	16	inproc	0	NA	NA	0	51.614014	128	8	51.585938	0.000000	0.000000	0.001953	0	2479.946644	NA	Ada	12	1774747547
standard	3	128	1	16	inproc	0	NA	NA	0	47.933838	128	8	47.903809	0.000000	0.000000	0.000977	0	2670.347413	NA	Ada	12	1774747547
standard	1	128	1	16	zmq	NA	0	0	0	45.161865	128	8	38.801025	0.053955	6.275635	0.000000	1	2834.249634	NA	Ada	12	1774747549
standard	2	128	1	16	zmq	NA	0	0	0	41.741943	128	8	35.915039	0.045898	5.750000	0.000000	1	3066.460009	NA	Ada	12	1774747550
standard	3	128	1	16	zmq	NA	0	0	0	45.517822	128	8	40.435303	0.039062	5.020508	0.000000	1	2812.085325	NA	Ada	12	1774747551
standard	1	128	1	16	zmq	NA	0	1	0	49.836182	128	8	42.765869	0.060791	6.963379	0.000000	1	2568.415071	NA	Ada	12	1774747553
standard	2	128	1	16	zmq	NA	0	1	0	52.696045	128	8	46.184082	0.053223	6.267090	0.000000	1	2429.024800	NA	Ada	12	1774747554
standard	3	128	1	16	zmq	NA	0	1	0	62.639160	128	8	57.129150	0.056885	5.420166	0.000000	1	2043.450131	NA	Ada	12	1774747555
standard	1	128	1	32	inproc	0	NA	NA	0	54.638916	128	4	54.619873	0.000000	0.000000	0.000000	0	2342.652624	NA	Ada	12	1774747556
standard	2	128	1	32	inproc	0	NA	NA	0	58.794922	128	4	58.773193	0.000000	0.000000	0.001953	0	2177.058765	NA	Ada	12	1774747556
standard	3	128	1	32	inproc	0	NA	NA	0	58.766113	128	4	58.737061	0.000000	0.000000	0.000000	0	2178.126013	NA	Ada	12	1774747556
standard	1	128	1	32	zmq	NA	0	0	0	44.968018	128	4	41.243896	0.043213	3.630859	0.000000	1	2846.467487	NA	Ada	12	1774747558
standard	2	128	1	32	zmq	NA	0	0	0	45.455078	128	4	42.805176	0.039062	2.583984	0.000000	1	2815.967000	NA	Ada	12	1774747559
standard	3	128	1	32	zmq	NA	0	0	0	50.096191	128	4	47.439941	0.049072	2.580811	0.000000	1	2555.084457	NA	Ada	12	1774747560
standard	1	128	1	32	zmq	NA	0	1	0	53.895020	128	4	51.809570	0.048096	1.993164	0.000000	1	2374.987543	NA	Ada	12	1774747562
standard	2	128	1	32	zmq	NA	0	1	0	156.659912	128	4	38.097900	0.040039	118.486816	0.000000	1	817.056503	NA	Ada	12	1774747563
standard	3	128	1	32	zmq	NA	0	1	0	160.375000	128	4	41.682861	0.041016	118.623291	0.000000	1	798.129384	NA	Ada	12	1774747565
standard	1	128	1	64	inproc	0	NA	NA	0	41.509033	128	2	41.491943	0.000000	0.000000	0.000000	0	3083.666135	NA	Ada	12	1774747565
standard	2	128	1	64	inproc	0	NA	NA	0	44.190918	128	2	44.156982	0.000000	0.000000	0.000000	0	2896.522767	NA	Ada	12	1774747565
standard	3	128	1	64	inproc	0	NA	NA	0	49.970947	128	2	49.946045	0.000000	0.000000	0.000000	0	2561.488365	NA	Ada	12	1774747565
standard	1	128	1	64	zmq	NA	0	0	0	37.725830	128	2	35.404053	0.025879	2.276855	0.000000	1	3392.900825	NA	Ada	12	1774747567
standard	2	128	1	64	zmq	NA	0	0	0	63.527100	128	2	61.666016	0.037842	1.800049	0.000000	1	2014.888147	NA	Ada	12	1774747568
standard	3	128	1	64	zmq	NA	0	0	0	36.870117	128	2	35.038086	0.031982	1.783936	0.000000	1	3471.646140	NA	Ada	12	1774747569
standard	1	128	1	64	zmq	NA	0	1	0	45.682861	128	2	43.610352	0.046875	2.007812	0.000000	1	2801.926068	NA	Ada	12	1774747571
standard	2	128	1	64	zmq	NA	0	1	0	39.009033	128	2	37.708984	0.029053	1.251953	0.000000	1	3281.291267	NA	Ada	12	1774747572
standard	3	128	1	64	zmq	NA	0	1	0	54.816162	128	2	52.763184	0.046875	1.980957	0.000000	1	2335.077741	NA	Ada	12	1774747573
standard	1	128	1	128	inproc	0	NA	NA	0	74.655029	128	1	74.624023	0.000000	0.000000	0.000977	0	1714.552940	NA	Ada	12	1774747574
standard	2	128	1	128	inproc	0	NA	NA	0	67.570801	128	1	67.502930	0.000000	0.000000	0.000000	0	1894.309354	NA	Ada	12	1774747574
standard	3	128	1	128	inproc	0	NA	NA	0	61.917969	128	1	61.894043	0.000000	0.000000	0.000000	0	2067.251278	NA	Ada	12	1774747574
standard	1	128	1	128	zmq	NA	0	0	0	44.625977	128	1	43.659180	0.026855	0.923096	0.000000	1	2868.284570	NA	Ada	12	1774747576
standard	2	128	1	128	zmq	NA	0	0	0	41.511963	128	1	40.721924	0.022949	0.750000	0.000000	1	3083.448507	NA	Ada	12	1774747577
standard	3	128	1	128	zmq	NA	0	0	0	68.729004	128	1	67.305908	0.077148	1.323975	0.000000	1	1862.386951	NA	Ada	12	1774747578
standard	1	128	1	128	zmq	NA	0	1	0	127.260986	128	1	49.544922	0.026855	77.668213	0.000000	1	1005.807072	NA	Ada	12	1774747580
standard	2	128	1	128	zmq	NA	0	1	0	46.666992	128	1	45.682129	0.031006	0.938965	0.000000	1	2742.838010	NA	Ada	12	1774747582
standard	3	128	1	128	zmq	NA	0	1	0	126.925049	128	1	54.881836	0.025146	71.993896	0.000000	1	1008.469181	NA	Ada	12	1774747583
standard	1	128	2	8	inproc	0	NA	NA	0	25.379883	128	16	47.323242	0.000000	0.000000	0.000977	0	5043.364500	NA	Ada	12	1774747583
standard	2	128	2	8	inproc	0	NA	NA	0	25.434082	128	16	49.337646	0.000000	0.000000	0.003174	0	5032.617251	NA	Ada	12	1774747583
standard	3	128	2	8	inproc	0	NA	NA	0	51.395996	128	16	89.384033	0.000000	0.000000	0.003174	0	2490.466373	NA	Ada	12	1774747583
standard	1	128	2	8	zmq	NA	0	0	0	36.356934	128	16	60.175781	0.078125	11.452393	0.000000	1	3520.648948	NA	Ada	12	1774747585
standard	2	128	2	8	zmq	NA	0	0	0	29.282959	128	16	44.382080	0.062988	10.900879	0.000000	1	4371.142960	NA	Ada	12	1774747586
standard	3	128	2	8	zmq	NA	0	0	0	30042.205078	120	16	88.700684	0.118164	30339.291260	0.000000	1	3.994381	NA	Ada	12	1774747617
standard	1	128	2	8	zmq	NA	0	1	0	32.125000	128	16	46.071533	0.061523	10.832031	0.000000	1	3984.435798	NA	Ada	12	1774747619
standard	2	128	2	8	zmq	NA	0	1	0	34.181885	128	16	58.006104	0.059082	9.235107	0.000000	1	3744.673557	NA	Ada	12	1774747620
standard	3	128	2	8	zmq	NA	0	1	0	28.050049	128	16	42.785645	0.057861	9.456543	0.000000	1	4563.271914	NA	Ada	12	1774747621
standard	1	128	2	16	inproc	0	NA	NA	0	27.448975	128	8	52.860596	0.000000	0.000000	0.001221	0	4663.197872	NA	Ada	12	1774747622
standard	2	128	2	16	inproc	0	NA	NA	0	32.541016	128	8	63.975098	0.000000	0.000000	0.000000	0	3933.497389	NA	Ada	12	1774747622
standard	3	128	2	16	inproc	0	NA	NA	0	37.060059	128	8	67.577881	0.000000	0.000000	0.000977	0	3453.853147	NA	Ada	12	1774747622
standard	1	128	2	16	zmq	NA	0	0	0	24.863037	128	8	40.624756	0.041992	6.529297	0.000000	1	5148.204519	NA	Ada	12	1774747624
standard	2	128	2	16	zmq	NA	0	0	0	24.284180	128	8	39.625244	0.037842	5.847168	0.000000	1	5270.921301	NA	Ada	12	1774747625
standard	3	128	2	16	zmq	NA	0	0	0	28.123047	128	8	48.820068	0.049072	6.676025	0.000000	1	4551.427182	NA	Ada	12	1774747626
standard	1	128	2	16	zmq	NA	0	1	0	27.109863	128	8	48.397217	0.046631	4.797119	0.000000	1	4721.528791	NA	Ada	12	1774747628
standard	2	128	2	16	zmq	NA	0	1	0	29.214844	128	8	48.014648	0.037354	5.306396	0.000000	1	4381.334403	NA	Ada	12	1774747629
standard	3	128	2	16	zmq	NA	0	1	0	187.695801	128	8	50.292480	0.052490	322.757080	0.000000	1	681.954521	NA	Ada	12	1774747630
standard	1	128	2	32	inproc	0	NA	NA	0	41.652100	128	4	69.124512	0.000000	0.000000	0.001953	0	3073.074376	NA	Ada	12	1774747630
standard	2	128	2	32	inproc	0	NA	NA	0	36.185059	128	4	69.537842	0.000000	0.000000	0.000977	0	3537.371638	NA	Ada	12	1774747631
standard	3	128	2	32	inproc	0	NA	NA	0	38.902832	128	4	71.518311	0.000000	0.000000	0.000000	0	3290.248892	NA	Ada	12	1774747631
standard	1	128	2	32	zmq	NA	0	0	0	24.457031	128	4	44.084229	0.030762	3.447998	0.000000	1	5233.668743	NA	Ada	12	1774747633
standard	2	128	2	32	zmq	NA	0	0	0	21.697998	128	4	39.822021	0.028809	2.662842	0.000000	1	5899.161744	NA	Ada	12	1774747634
standard	3	128	2	32	zmq	NA	0	0	0	28.738037	128	4	52.935791	0.080078	3.576904	0.000000	1	4454.027236	NA	Ada	12	1774747635
standard	1	128	2	32	zmq	NA	0	1	0	188.312012	128	4	54.857910	0.036133	283.891846	0.000000	1	679.722971	NA	Ada	12	1774747637
standard	2	128	2	32	zmq	NA	0	1	0	27.343994	128	4	50.017822	0.043213	3.218994	0.000000	1	4681.101062	NA	Ada	12	1774747638
standard	3	128	2	32	zmq	NA	0	1	0	46.158936	128	4	87.968994	0.062744	2.978760	0.000000	1	2773.027551	NA	Ada	12	1774747639
standard	1	128	2	64	inproc	0	NA	NA	0	40.849854	128	2	79.694824	0.000000	0.000000	0.000000	0	3133.426169	NA	Ada	12	1774747639
standard	2	128	2	64	inproc	0	NA	NA	0	41.075928	128	2	79.218994	0.000000	0.000000	0.000977	0	3116.180378	NA	Ada	12	1774747639
standard	3	128	2	64	inproc	0	NA	NA	0	48.412109	128	2	95.204102	0.000000	0.000000	0.000000	0	2643.966595	NA	Ada	12	1774747640
standard	1	128	2	64	zmq	NA	0	0	0	22.001953	128	2	40.467285	0.050049	1.794922	0.000000	1	5817.665335	NA	Ada	12	1774747642
standard	2	128	2	64	zmq	NA	0	0	0	23.886963	128	2	43.062744	0.034180	1.981934	0.000000	1	5358.571560	NA	Ada	12	1774747643
standard	3	128	2	64	zmq	NA	0	0	0	22.375000	128	2	40.000977	0.028076	2.198730	0.000000	1	5720.670391	0.456779	Ada	12	1774747644
standard	1	128	2	64	zmq	NA	0	1	0	27.582031	128	2	52.725830	0.119141	1.831787	0.000000	1	4640.702450	0.376791	Ada	12	1774747646
standard	2	128	2	64	zmq	NA	0	1	0	54.461914	128	2	98.365967	0.074951	3.295898	0.000000	1	2350.266277	0.431537	Ada	12	1774747647
standard	3	128	2	64	zmq	NA	0	1	0	64.182129	128	2	111.997070	0.088135	2.653809	0.000000	1	1994.324622	0.543091	Ada	12	1774747648
standard	1	128	2	128	inproc	0	NA	NA	0	102.092041	128	1	101.741943	0.000000	0.000000	0.000977	0	1253.770605	NA	Ada	12	1774747648
standard	2	128	2	128	inproc	0	NA	NA	0	95.219971	128	1	94.848145	0.000000	0.000000	0.000977	0	1344.255822	NA	Ada	12	1774747649
standard	3	128	2	128	inproc	0	NA	NA	0	89.680908	128	1	89.357910	0.000000	0.000000	0.000977	0	1427.282602	NA	Ada	12	1774747649
standard	1	128	2	128	zmq	NA	0	0	0	68.075928	128	1	66.015869	0.033203	1.170898	0.000000	1	1880.253480	0.520302	Ada	12	1774747651
standard	2	128	2	128	zmq	NA	0	0	0	52.239990	128	1	48.809814	0.027100	3.276123	0.000000	1	2450.230167	0.340001	Ada	12	1774747652
standard	3	128	2	128	zmq	NA	0	0	0	69.760986	128	1	68.754883	0.045166	0.812012	0.000000	1	1834.836443	0.370932	Ada	12	1774747653
standard	1	128	2	128	zmq	NA	0	1	0	60.156006	128	1	59.257080	0.038086	0.678955	0.000000	1	2127.800843	1.667258	Ada	12	1774747655
standard	2	128	2	128	zmq	NA	0	1	0	79.310059	128	1	78.002930	0.039062	0.958008	0.000000	1	1613.918868	0.375962	Ada	12	1774747657
standard	3	128	2	128	zmq	NA	0	1	0	56.197998	128	1	55.154053	0.029785	0.864014	0.000000	1	2277.661206	NA	Ada	12	1774747658
standard	1	128	4	8	inproc	0	NA	NA	0	24.818115	128	16	93.020996	0.000000	0.000000	0.002930	0	5157.522994	NA	Ada	12	1774747658
standard	2	128	4	8	inproc	0	NA	NA	0	26.318848	128	16	96.174805	0.000000	0.000000	0.002930	0	4863.434816	NA	Ada	12	1774747658
standard	3	128	4	8	inproc	0	NA	NA	0	30.989014	128	16	111.575928	0.000000	0.000000	0.003906	0	4130.496096	NA	Ada	12	1774747658
standard	1	128	4	8	zmq	NA	0	0	0	187.269043	128	16	60.302002	0.070557	617.146973	0.000000	1	683.508593	NA	Ada	12	1774747660
standard	2	128	4	8	zmq	NA	0	0	0	165.065186	128	16	59.445801	0.069824	531.522461	0.000000	1	775.451223	NA	Ada	12	1774747662
standard	3	128	4	8	zmq	NA	0	0	0	198.192871	128	16	67.036865	0.070068	607.149170	0.000000	1	645.835540	NA	Ada	12	1774747663
standard	1	128	4	8	zmq	NA	0	1	0	197.821045	128	16	57.822754	0.072266	672.752930	0.000000	1	647.049459	NA	Ada	12	1774747665
standard	2	128	4	8	zmq	NA	0	1	0	18.333008	128	16	56.145996	0.047363	9.131592	0.000000	1	6981.942151	NA	Ada	12	1774747666
standard	3	128	4	8	zmq	NA	0	1	0	22.372803	128	16	70.988037	0.066650	10.189209	0.000000	1	5721.232226	NA	Ada	12	1774747667
standard	1	128	4	16	inproc	0	NA	NA	0	26.970947	128	8	90.921875	0.000000	0.000000	0.000977	0	4745.847402	NA	Ada	12	1774747667
standard	2	128	4	16	inproc	0	NA	NA	0	25.897949	128	8	91.302002	0.000000	0.000000	0.000977	0	4942.476291	NA	Ada	12	1774747667
standard	3	128	4	16	inproc	0	NA	NA	0	26.193848	128	8	92.814453	0.000000	0.000000	0.001953	0	4886.643676	NA	Ada	12	1774747667
standard	1	128	4	16	zmq	NA	0	0	0	16.813965	128	8	49.906738	0.038086	4.822021	0.000000	1	7612.719617	NA	Ada	12	1774747670
standard	2	128	4	16	zmq	NA	0	0	0	31.238037	128	8	71.517090	0.054688	6.180176	0.000000	1	4097.568600	NA	Ada	12	1774747671
standard	3	128	4	16	zmq	NA	0	0	0	18.482910	128	8	53.043457	0.046631	4.829102	0.000000	1	6925.316355	NA	Ada	12	1774747672
standard	1	128	4	16	zmq	NA	0	1	0	22.225098	128	8	67.219727	0.066162	7.469971	0.000000	1	5759.254784	NA	Ada	12	1774747674
standard	2	128	4	16	zmq	NA	0	1	0	32.236816	128	8	104.974854	0.081299	6.037598	0.000000	1	3970.615410	NA	Ada	12	1774747675
standard	3	128	4	16	zmq	NA	0	1	0	23.889893	128	8	66.979004	0.052002	6.429932	0.000000	1	5357.914423	NA	Ada	12	1774747676
standard	1	128	4	32	inproc	0	NA	NA	0	38.208984	128	4	112.374023	0.000000	0.000000	0.002197	0	3349.997444	NA	Ada	12	1774747676
standard	2	128	4	32	inproc	0	NA	NA	0	34.200195	128	4	122.621826	0.000000	0.000000	0.000977	0	3742.668685	NA	Ada	12	1774747676
standard	3	128	4	32	inproc	0	NA	NA	0	102.364014	128	4	283.673340	0.000000	0.000000	0.003906	0	1250.439441	NA	Ada	12	1774747676
standard	1	128	4	32	zmq	NA	0	0	0	40.875000	128	4	146.143066	0.114746	4.570068	0.000000	1	3131.498471	NA	Ada	12	1774747679
standard	2	128	4	32	zmq	NA	0	0	0	313.297119	128	4	167.429688	0.161377	769.811523	0.000000	1	408.557858	NA	Ada	12	1774747680
standard	3	128	4	32	zmq	NA	0	0	0	28.616211	128	4	97.741943	0.131104	4.760010	0.000000	1	4472.989114	NA	Ada	12	1774747681
standard	1	128	4	32	zmq	NA	0	1	0	165.503906	128	4	99.093750	0.145020	457.080078	0.000000	1	773.395643	NA	Ada	12	1774747684
standard	2	128	4	32	zmq	NA	0	1	0	199.369873	128	4	97.971680	0.122803	555.361328	0.000000	1	642.022779	NA	Ada	12	1774747685
standard	3	128	4	32	zmq	NA	0	1	0	187.845947	128	4	159.287842	0.169922	468.028076	0.000000	1	681.409431	NA	Ada	12	1774747686
standard	1	128	4	64	inproc	0	NA	NA	0	80.862061	128	2	150.005859	0.000000	0.000000	0.000977	0	1582.942596	NA	Ada	12	1774747686
standard	2	128	4	64	inproc	0	NA	NA	0	113.619873	128	2	202.600098	0.000000	0.000000	0.001953	0	1126.563484	NA	Ada	12	1774747687
